airline,number,collect(distinct a1)
19977,50,"[{""name"":SEA},{""name"":EWR},{""name"":IAH},{""name"":SAT},{""name"":MCO},{""name"":LAX},{""name"":FLL},{""name"":ORD},{""name"":MSP},{""name"":KOA},{""name"":PDX},{""name"":SFO},{""name"":IAD},{""name"":SMF},{""name"":RIC},{""name"":IND},{""name"":BOS},{""name"":DEN},{""name"":DFW},{""name"":SLC},{""name"":MCI},{""name"":MSN},{""name"":SNA},{""name"":HNL},{""name"":SAN},{""name"":LAS},{""name"":ATL},{""name"":CMH},{""name"":SJC},{""name"":PHX},{""name"":BIL},{""name"":LGA},{""name"":ROC},{""name"":CLT},{""name"":DCA},{""name"":MIA},{""name"":TPA},{""name"":PIT},{""name"":PSP},{""name"":RSW},{""name"":BDL},{""name"":ORF},{""name"":BWI},{""name"":AUS},{""name"":MEM},{""name"":MFE},{""name"":OMA},{""name"":MSY},{""name"":BZN},{""name"":OKC}]"
20304,37,"[{""name"":SEA},{""name"":IAH},{""name"":LAX},{""name"":ORD},{""name"":MSP},{""name"":SFO},{""name"":SMF},{""name"":DFW},{""name"":SLC},{""name"":ATL},{""name"":PHX},{""name"":BHM},{""name"":BNA},{""name"":CVG},{""name"":PBI},{""name"":MIA},{""name"":ABQ},{""name"":FAT},{""name"":TUS},{""name"":DLH},{""name"":FSD},{""name"":MOB},{""name"":SBN},{""name"":AZO},{""name"":DTW},{""name"":MOT},{""name"":PIT},{""name"":ORF},{""name"":AUS},{""name"":OMA},{""name"":CRP},{""name"":TUL},{""name"":FAR},{""name"":SGF},{""name"":GRR},{""name"":RNO},{""name"":DAY}]"
